"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp1_baseline"
"08/07/2026 20:13:58:949 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","0","90","0","90","0","0","10","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","86.2","0","86.2","0","0","13.8","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","87.1","0","87.1","0","0","12.9","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","86.1","0","86.1","0","0","13.900000000000002","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","86.9","0","86.9","0","0","13.100000000000001","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","85.1","0","85.1","0","0","14.899999999999999","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","1","85.7","0","85.7","0","0","14.299999999999999","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","80.1","0","80.1","0","0","19.900000000000002","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","80.8","0","80.8","0","0","19.2","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","80.9","0","80.9","0","0","19.1","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","78.7","0","78.7","0","0","21.3","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","82.1","0","82.1","0","0","17.9","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","2","77.9","0","77.9","0","0","22.1","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","69.4","0","69.4","0","0","30.599999999999998","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","72","0","72","0","0","28.000000000000004","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","74.4","0","74.4","0","0","25.6","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","72.4","0","72.4","0","0","27.6","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","69.1","0","69.1","0","0","30.9","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","3","74.7","0","74.7","0","0","25.3","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","64.1","0","64.1","0","0","35.9","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","67.4","0","67.4","0","0","32.6","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","62.5","0","62.5","0","0","37.5","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","62.9","0","62.9","0","0","37.1","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","54.9","0","54.9","0","0","45.1","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","58.7","0","58.7","0","0","41.3","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","65.30000000000001","0","65.30000000000001","0","0","34.699999999999996","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","4","60.199999999999996","0","60.199999999999996","0","0","39.800000000000004","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","55.1","0","55.1","0","0","44.9","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","53.599999999999994","0","53.599999999999994","0","0","46.400000000000006","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","51.6","0","51.6","0","0","48.4","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","45.699999999999996","0","45.699999999999996","0","0","54.300000000000004","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","5","56.1","0","56.1","0","0","43.9","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","48.5","0","48.5","0","0","51.5","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","51","0","51","0","0","49","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","43.8","0","43.8","0","0","56.2","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","46.699999999999996","0","46.699999999999996","0","0","53.300000000000004","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","6","45.199999999999996","0","45.199999999999996","0","0","54.800000000000004","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","38.5","0","38.5","0","0","61.5","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","42.900000000000006","0","42.900000000000006","0","0","57.099999999999994","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","38.7","0","38.7","0","0","61.3","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","8","31.599999999999994","0","31.599999999999994","0","0","68.4","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","35.5","0","35.5","0","0","64.5","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","8","35.8","0","35.8","0","0","64.2","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","39.5","0","39.5","0","0","60.5","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","7","37.6","0","37.6","0","0","62.4","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","8","32.599999999999994","0","32.599999999999994","0","0","67.4","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","8","28.900000000000006","0","28.900000000000006","0","0","71.1","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","9","26.799999999999997","0","26.799999999999997","0","0","73.2","0","0","0"
