"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp2_legal_main"
"08/07/2026 20:14:36:700 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","93.5","2.7","90.8","71.57894736842105","28.421052631578945","6.5","27","68","27"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","93.8","5","88.8","61.029411764705884","38.970588235294116","6.2","50","83","53"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","94","6.9","87.1","57.22543352601156","42.77456647398844","6","69","99","74"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","94.2","10","84.2","50.2262443438914","49.7737556561086","5.800000000000001","100","111","110"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","94.5","12.3","82.2","47.52851711026616","52.47148288973384","5.5","123","125","138"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","94","1.3","92.7","86.17021276595744","13.829787234042554","6","13","81","13"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","93","2.3","90.7","75.78947368421053","24.210526315789473","7.000000000000001","23","72","23"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","94.8","14.6","80.2","45.12987012987013","54.87012987012987","5.2","146","139","169"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","93.8","1.5","92.3","83.87096774193549","16.129032258064516","6.2","15","78","15"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","94.9","16.5","78.4","43.440233236151606","56.559766763848394","5.1","165","149","194"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","93.8","1.7999999999999998","92","77.5","22.5","6.2","18","62","18"
