"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp4_2*2"
"08/07/2026 20:15:49:245 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","96.2","2.1999999999999997","94","79.81651376146789","20.18348623853211","3.8","22","87","22"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","96.7","2.4","94.3","80.95238095238095","19.047619047619047","3.3000000000000003","24","102","24"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","96.3","3","93.3","75.20661157024794","24.793388429752067","3.6999999999999997","30","91","30"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","96.9","3.2","93.7","74.19354838709677","25.806451612903224","3.1","32","92","32"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","96.3","3.2","93.1","74.19354838709677","25.806451612903224","3.6999999999999997","32","92","32"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","95.3","3","92.3","75.20661157024794","24.793388429752067","4.7","30","91","30"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","95.6","2.1999999999999997","93.39999999999999","79.81651376146789","20.18348623853211","4.3999999999999995","22","87","22"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","93.9","2.1999999999999997","91.7","79.81651376146789","20.18348623853211","6.1","22","87","22"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","95.9","2.4","93.5","80.95238095238095","19.047619047619047","4.1000000000000005","24","102","24"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","94.1","3.2","90.89999999999999","74.19354838709677","25.806451612903224","5.8999999999999995","32","92","32"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","93.1","3","90.1","75.20661157024794","24.793388429752067","6.9","30","91","30"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","95.2","2.4","92.8","80.95238095238095","19.047619047619047","4.8","24","102","24"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","89.1","2.1999999999999997","86.89999999999999","79.81651376146789","20.18348623853211","10.9","22","87","22"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","94","2.4","91.6","80.95238095238095","19.047619047619047","6","24","102","24"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","1","96.5","2.6","93.9","79.52755905511812","20.47244094488189","3.5000000000000004","26","101","26"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","92.6","2.4","90.19999999999999","80.95238095238095","19.047619047619047","7.3999999999999995","24","102","24"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","90.7","3.2","87.5","74.19354838709677","25.806451612903224","9.3","32","92","32"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","90.5","3","87.5","75.20661157024794","24.793388429752067","9.5","30","91","30"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","83.5","3.2","80.3","74.19354838709677","25.806451612903224","16.5","32","92","32"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","95.9","2.6","93.30000000000001","79.52755905511812","20.47244094488189","4.1000000000000005","26","101","26"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","84.4","3","81.4","75.20661157024794","24.793388429752067","15.6","30","91","30"
