"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp7b_scale-check(b)"
"08/07/2026 20:17:48:684 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted","mean-degree","max-degree","degree-sd","count-isolates","mean-super-degree","legal-load","audit-load"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","253","6.501234634310253","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","171","5.6839123789857755","0","44.62","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","225","6.334131574617161","0","47.02","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","143","5.951023567110199","0","47.46","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","289","7.134968823759827","0","49.16","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","0","90","0","90","0","0","10","0","0","0","3.9988","138","5.69428516468119","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","86.9","0","86.9","0","0","13.100000000000001","0","0","0","3.9988","253","6.501234634310296","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","86.44","0","86.44","0","0","13.56","0","0","0","3.9988","171","5.683912378985732","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","86.32","0","86.32","0","0","13.68","0","0","0","3.9988","289","7.134968823759774","0","49.16","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","86.36","0","86.36","0","0","13.639999999999999","0","0","0","3.9988","143","5.9510235671101075","0","47.46","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","80.56","0","80.56","0","0","19.439999999999998","0","0","0","3.9988","253","6.501234634310296","0","47.9","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","86.18","0","86.18","0","0","13.819999999999999","0","0","0","3.9988","225","6.334131574617155","0","47.02","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","1","85.7","0","85.7","0","0","14.299999999999999","0","0","0","3.9988","138","5.694285164681195","0","47.56","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","81.14","0","81.14","0","0","18.86","0","0","0","3.9988","171","5.683912378985785","0","44.62","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","79.76","0","79.76","0","0","20.24","0","0","0","3.9988","143","5.951023567110162","0","47.46","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","79.46000000000001","0","79.46000000000001","0","0","20.54","0","0","0","3.9988","289","7.13496882375978","0","49.16","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","78.52","0","78.52","0","0","21.48","0","0","0","3.9988","138","5.6942851646812365","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","3","73.08","0","73.08","0","0","26.919999999999998","0","0","0","3.9988","253","6.501234634310304","0","47.9","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","2","80.64","0","80.64","0","0","19.36","0","0","0","3.9988","225","6.334131574617135","0","47.02","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","3","73.3","0","73.3","0","0","26.700000000000003","0","0","0","3.9988","171","5.683912378985746","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","3","71.32","0","71.32","0","0","28.68","0","0","0","3.9988","289","7.1349688237598174","0","49.16","3500","3750"
