tick,none10_mean,none10_lo,none10_hi,legal10_mean,legal10_lo,legal10_hi,platform10_mean,platform10_lo,platform10_hi,none30_mean,none30_lo,none30_hi,legal30_mean,legal30_lo,legal30_hi,platform30_mean,platform30_lo,platform30_hi,none50_mean,none50_lo,none50_hi,legal50_mean,legal50_lo,legal50_hi,platform50_mean,platform50_lo,platform50_hi
0,90.000000,90.000000,90.000000,90.000000,90.000000,90.000000,90.000000,90.000000,90.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000
1,86.130000,85.640098,86.619902,95.770000,95.417849,96.122151,94.810000,94.368445,95.251555,62.330000,61.320555,63.339445,87.980000,87.454539,88.505461,85.310000,84.567766,86.052234,40.890000,40.274211,41.505789,81.130000,80.739564,81.520436,76.970000,76.083515,77.856485
2,80.070000,79.038821,81.101179,94.790000,94.264917,95.315083,96.910000,96.424294,97.395706,53.310000,52.319662,54.300338,84.860000,83.996816,85.723184,91.370000,90.688802,92.051198,32.090000,31.264356,32.915644,77.210000,76.739759,77.680241,87.360000,86.380196,88.339804
3,71.990000,70.559505,73.420495,92.570000,91.212685,93.927315,98.230000,97.741260,98.718740,44.630000,43.546655,45.713345,79.070000,77.459061,80.680939,94.690000,94.114297,95.265703,25.560000,24.204718,26.915282,70.190000,68.989919,71.390081,92.590000,92.040576,93.139424
4,63.550000,62.019348,65.080652,88.890000,85.964811,91.815189,98.790000,98.450341,99.129659,36.800000,36.044441,37.555559,71.610000,69.864747,73.355253,96.710000,96.196967,97.223033,20.050000,19.093661,21.006339,61.520000,59.660133,63.379867,95.600000,95.088577,96.111423
5,54.640000,53.200096,56.079904,83.830000,79.839780,87.820220,99.110000,98.824952,99.395048,30.140000,29.091786,31.188214,63.390000,61.621767,65.158233,97.750000,97.381747,98.118253,15.920000,14.962146,16.877854,52.960000,50.706607,55.213393,97.160000,96.616036,97.703964
6,46.290000,44.689187,47.890813,93.570000,92.324535,94.815465,99.480000,99.326203,99.633797,24.640000,23.660777,25.619223,85.490000,84.690242,86.289758,98.510000,98.217082,98.802918,12.650000,11.648926,13.651074,81.870000,81.110650,82.629350,98.280000,97.897286,98.662714
7,38.530000,37.091735,39.968265,92.010000,90.537975,93.482025,99.700000,99.565111,99.834889,20.100000,19.063898,21.136102,82.160000,81.044002,83.275998,99.190000,99.045151,99.334849,10.060000,9.221543,10.898457,77.970000,76.917536,79.022464,98.740000,98.315850,99.164150
8,32.010000,30.478160,33.541840,88.290000,86.075485,90.504515,99.720000,99.501976,99.938024,16.230000,15.290577,17.169423,75.930000,74.203549,77.656451,99.470000,99.411107,99.528893,7.820000,7.057102,8.582898,71.120000,69.696538,72.543462,99.260000,99.018703,99.501297
9,25.980000,24.653725,27.306275,82.780000,79.636804,85.923196,99.770000,99.541160,99.998840,12.870000,12.074091,13.665909,67.780000,65.608172,69.951828,99.570000,99.448179,99.691821,6.200000,5.428799,6.971201,62.970000,61.217724,64.722276,99.600000,99.389405,99.810595
10,21.120000,19.840420,22.399580,76.150000,72.426287,79.873713,99.890000,99.757450,100.000000,10.400000,9.606273,11.193727,59.800000,57.443541,62.156459,99.670000,99.530755,99.809245,4.960000,4.218724,5.701276,54.510000,52.749502,56.270498,99.780000,99.659352,99.900648
11,17.230000,15.960121,18.499879,90.770000,89.165427,92.374573,99.930000,99.840461,100.000000,8.340000,7.620522,9.059478,84.620000,83.545747,85.694253,99.780000,99.645957,99.914043,3.980000,3.464369,4.495631,82.270000,81.338478,83.201522,99.860000,99.769514,99.950486
12,13.920000,12.610552,15.229448,88.600000,86.426288,90.773712,99.950000,99.880480,100.000000,6.610000,6.027424,7.192576,81.220000,79.886457,82.553543,99.840000,99.763101,99.916899,3.110000,2.663323,3.556677,78.150000,76.871108,79.428892,99.890000,99.797956,99.982044
13,11.140000,9.857579,12.422421,83.930000,80.914158,86.945842,99.960000,99.890890,100.000000,5.250000,4.690526,5.809474,75.170000,73.376988,76.963012,99.920000,99.809177,100.000000,2.510000,2.142985,2.877015,71.590000,69.616326,73.563674,99.960000,99.923059,99.996941
14,8.760000,7.488712,10.031288,77.250000,73.597669,80.902331,99.990000,99.967378,100.000000,4.240000,3.741869,4.738131,67.470000,65.363763,69.576237,99.920000,99.825819,100.000000,2.200000,1.815507,2.584493,62.890000,60.820693,64.959307,99.970000,99.935445,100.000000
15,7.040000,6.012052,8.067948,69.300000,65.452411,73.147589,99.990000,99.967378,100.000000,3.380000,2.906926,3.853074,58.900000,56.735200,61.064800,99.940000,99.879676,100.000000,1.720000,1.373136,2.066864,54.790000,52.220584,57.359416,99.950000,99.859200,100.000000
16,5.710000,4.790520,6.629480,88.200000,86.682499,89.717501,99.990000,99.967378,100.000000,2.850000,2.342763,3.357237,84.060000,82.870986,85.249014,99.970000,99.921717,100.000000,1.300000,0.978310,1.621690,82.440000,81.633340,83.246660,99.920000,99.762549,100.000000
17,4.650000,3.918725,5.381275,85.530000,83.691890,87.368110,99.990000,99.967378,100.000000,2.290000,1.870907,2.709093,80.220000,78.569745,81.870255,99.970000,99.921717,100.000000,0.960000,0.687705,1.232295,78.680000,77.842493,79.517507,99.950000,99.859200,100.000000
18,3.660000,3.014679,4.305321,79.640000,77.134049,82.145951,100.000000,100.000000,100.000000,1.860000,1.414917,2.305083,74.160000,72.231276,76.088724,99.990000,99.967378,100.000000,0.740000,0.537105,0.942895,71.830000,70.450661,73.209339,99.990000,99.967378,100.000000
