"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_legalstrength60_time1"
"04/22/2025 16:00:41:706 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"treatment","legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
"[final]","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0","50","10","legal","60","1","100","0"
"[min]","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0","0","10",,"60","1","90","0"
"[max]","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10","50","10",,"60","1","100","10"
"[mean]","25","10",,"60","1","99.5156862745098","0.4843137254901961","25","10",,"60","1","99.48627450980392","0.5137254901960784","25","10",,"60","1","99.59607843137255","0.403921568627451","25","10",,"60","1","98.84901960784315","1.1509803921568629","25","10",,"60","1","99.50196078431374","0.4980392156862746","25","10",,"60","1","99.60392156862746","0.396078431372549","25","10",,"60","1","99.57450980392157","0.42549019607843136","25","10",,"60","1","99.49607843137255","0.503921568627451","25","10",,"60","1","99.4843137254902","0.5156862745098039","25","10",,"60","1","99.48235294117647","0.5176470588235293"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10","0","10","legal","60","1","90","10"
,"1","10","legal","60","1","92.4","7.6","1","10","legal","60","1","92.7","7.3","1","10","legal","60","1","92.9","7.1","1","10","legal","60","1","91","9","1","10","legal","60","1","91.8","8.200000000000001","1","10","legal","60","1","93.3","6.7","1","10","legal","60","1","92.8","7.199999999999999","1","10","legal","60","1","92.6","7.3999999999999995","1","10","legal","60","1","92.3","7.7","1","10","legal","60","1","92.3","7.7"
