"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_platformaccuracy70_speed75"
"04/22/2025 16:23:50:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"treatment","platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,
"platform-accuracy","70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,,"70",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
"[final]","50","10","platform","70","75","20.299999999999997","79.7","50","10","platform","70","75","21.599999999999994","78.4","50","10","platform","70","75","20.099999999999994","79.9","50","10","platform","70","75","19.19999999999999","80.80000000000001","50","10","platform","70","75","21","79","50","10","platform","70","75","18.400000000000006","81.6","50","10","platform","70","75","21.299999999999997","78.7","50","10","platform","70","75","18.400000000000006","81.6","50","10","platform","70","75","20.599999999999994","79.4","50","10","platform","70","75","19.19999999999999","80.80000000000001"
"[min]","0","10",,"70","75","18.30000000000001","10","0","10",,"70","75","19.099999999999994","10","0","10",,"70","75","18.89999999999999","10","0","10",,"70","75","19.19999999999999","10","0","10",,"70","75","19.299999999999997","10","0","10",,"70","75","17.900000000000006","10","0","10",,"70","75","19.19999999999999","10","0","10",,"70","75","18.10000000000001","10","0","10",,"70","75","19.799999999999997","10","0","10",,"70","75","18","10"
"[max]","50","10",,"70","75","90","81.69999999999999","50","10",,"70","75","90","80.9","50","10",,"70","75","90","81.10000000000001","50","10",,"70","75","90","80.80000000000001","50","10",,"70","75","90","80.7","50","10",,"70","75","90","82.1","50","10",,"70","75","90","80.80000000000001","50","10",,"70","75","90","81.89999999999999","50","10",,"70","75","90","80.2","50","10",,"70","75","90","82"
"[mean]","25","10",,"70","75","32.333333333333336","67.66666666666667","25","10",,"70","75","31.239215686274505","68.7607843137255","25","10",,"70","75","32.347058823529416","67.6529411764706","25","10",,"70","75","32.956862745098036","67.04313725490196","25","10",,"70","75","32.34901960784315","67.65098039215687","25","10",,"70","75","31.19803921568627","68.80196078431372","25","10",,"70","75","31.850980392156856","68.14901960784312","25","10",,"70","75","32.16666666666666","67.83333333333336","25","10",,"70","75","32.44509803921568","67.55490196078432","25","10",,"70","75","32.419607843137264","67.58039215686273"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
,"0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10"
