"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_pollutionrate10_none"
"04/22/2025 15:35:36:171 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"[reporter]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
"[final]","50","10","none","30","5","0","100","50","10","none","30","5","0","100","50","10","none","30","5","0","100","50","10","none","30","5","0","100","50","10","none","30","5","0.09999999999999432","99.9","50","10","none","30","5","0","100","50","10","none","30","5","0.09999999999999432","99.9","50","10","none","30","5","0","100","50","10","none","30","5","0","100","50","10","none","30","5","0","100"
"[min]","0","10",,"30","5","0","10","0","10",,"30","5","0","10","0","10",,"30","5","0","10","0","10",,"30","5","0","10","0","10",,"30","5","0.09999999999999432","10","0","10",,"30","5","0","10","0","10",,"30","5","0.09999999999999432","10","0","10",,"30","5","0","10","0","10",,"30","5","0","10","0","10",,"30","5","0","10"
"[max]","50","10",,"30","5","90","100","50","10",,"30","5","90","100","50","10",,"30","5","90","100","50","10",,"30","5","90","100","50","10",,"30","5","90","99.9","50","10",,"30","5","90","100","50","10",,"30","5","90","99.9","50","10",,"30","5","90","100","50","10",,"30","5","90","100","50","10",,"30","5","90","100"
"[mean]","25","10",,"30","5","14.800000000000004","85.20000000000002","25","10",,"30","5","15.013725490196082","84.9862745098039","25","10",,"30","5","15.30196078431373","84.69803921568628","25","10",,"30","5","15.160784313725486","84.83921568627451","25","10",,"30","5","15.221568627450987","84.77843137254902","25","10",,"30","5","14.682352941176468","85.31764705882352","25","10",,"30","5","14.947058823529423","85.05294117647063","25","10",,"30","5","14.850980392156867","85.14901960784314","25","10",,"30","5","14.65882352941177","85.34117647058822","25","10",,"30","5","14.788235294117646","85.21176470588235"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10","0","10","none","30","5","90","10"
