"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_legalstrength90"
"04/22/2025 15:21:45:600 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"treatment","legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,
"legal-strength","90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,,"90",,,,,,
"legal-response-time","5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
"[final]","50","10","legal","90","5","3.5","96.5","50","10","legal","90","5","3.1000000000000085","96.89999999999999","50","10","legal","90","5","3.6000000000000085","96.39999999999999","50","10","legal","90","5","4","96","50","10","legal","90","5","3.299999999999997","96.7","50","10","legal","90","5","3.4000000000000057","96.6","50","10","legal","90","5","3.200000000000003","96.8","50","10","legal","90","5","4.800000000000011","95.19999999999999","50","10","legal","90","5","4.1000000000000085","95.89999999999999","50","10","legal","90","5","3.299999999999997","96.7"
"[min]","0","10",,"90","5","3.5","5.6000000000000005","0","10",,"90","5","3.1000000000000085","5.1","0","10",,"90","5","3.6000000000000085","3.8","0","10",,"90","5","4","4.8","0","10",,"90","5","3.299999999999997","4.6","0","10",,"90","5","3.4000000000000057","3.5000000000000004","0","10",,"90","5","3.200000000000003","5.1","0","10",,"90","5","4.200000000000003","4.7","0","10",,"90","5","4.1000000000000085","3.6999999999999997","0","10",,"90","5","3.299999999999997","4.6"
"[max]","50","10",,"90","5","94.4","96.5","50","10",,"90","5","94.9","96.89999999999999","50","10",,"90","5","96.2","96.39999999999999","50","10",,"90","5","95.2","96","50","10",,"90","5","95.4","96.7","50","10",,"90","5","96.5","96.6","50","10",,"90","5","94.9","96.8","50","10",,"90","5","95.3","95.8","50","10",,"90","5","96.3","95.89999999999999","50","10",,"90","5","95.4","96.7"
"[mean]","25","10",,"90","5","25.892156862745107","74.10784313725489","25","10",,"90","5","26.67450980392158","73.32549019607843","25","10",,"90","5","29.605882352941162","70.39411764705883","25","10",,"90","5","26.70588235294117","73.29411764705883","25","10",,"90","5","30.354901960784318","69.64509803921568","25","10",,"90","5","29.856862745098052","70.14313725490196","25","10",,"90","5","29.01176470588236","70.98823529411764","25","10",,"90","5","28.515686274509807","71.48431372549017","25","10",,"90","5","29.358823529411765","70.64117647058826","25","10",,"90","5","28.55294117647059","71.44705882352942"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10"
