"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate50_platformaccuracy80_speed75"
"04/22/2025 16:44:37:893 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"treatment","platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
"[final]","50","50","platform","80","75","24.200000000000003","75.8","50","50","platform","80","75","23.799999999999997","76.2","50","50","platform","80","75","23.400000000000006","76.6","50","50","platform","80","75","23.299999999999997","76.7","50","50","platform","80","75","25.799999999999997","74.2","50","50","platform","80","75","24.700000000000003","75.3","50","50","platform","80","75","22.799999999999997","77.2","50","50","platform","80","75","23.200000000000003","76.8","50","50","platform","80","75","22.799999999999997","77.2","50","50","platform","80","75","23.700000000000003","76.3"
"[min]","0","50",,"80","75","21.200000000000003","50","0","50",,"80","75","20.299999999999997","50","0","50",,"80","75","21.799999999999997","50","0","50",,"80","75","21.5","50","0","50",,"80","75","21.799999999999997","50","0","50",,"80","75","22.5","50","0","50",,"80","75","21.5","50","0","50",,"80","75","21.700000000000003","50","0","50",,"80","75","20.799999999999997","50","0","50",,"80","75","21.299999999999997","50"
"[max]","50","50",,"80","75","50","78.8","50","50",,"80","75","50","79.7","50","50",,"80","75","50","78.2","50","50",,"80","75","50","78.5","50","50",,"80","75","50","78.2","50","50",,"80","75","50","77.5","50","50",,"80","75","50","78.5","50","50",,"80","75","50","78.3","50","50",,"80","75","50","79.2","50","50",,"80","75","50","78.7"
"[mean]","25","50",,"80","75","25.10392156862745","74.89607843137253","25","50",,"80","75","25.470588235294123","74.52941176470587","25","50",,"80","75","25.694117647058818","74.30588235294117","25","50",,"80","75","26.011764705882346","73.98823529411764","25","50",,"80","75","26.562745098039215","73.43725490196078","25","50",,"80","75","26.31176470588236","73.68823529411765","25","50",,"80","75","26.150980392156864","73.84901960784312","25","50",,"80","75","25.086274509803925","74.91372549019609","25","50",,"80","75","25.741176470588233","74.25882352941176","25","50",,"80","75","26.358823529411758","73.64117647058823"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
,"0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50","0","50","platform","80","75","50","50"
