"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_none"
"04/22/2025 15:30:50:199 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,,"10",,,,,,
"treatment","none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,,"none",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
"[final]","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100"
"[min]","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30","0","30",,"30","5","0","30"
"[max]","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100","50","30",,"30","5","70","100"
"[mean]","25","30",,"30","5","8.63529411764706","91.36470588235291","25","30",,"30","5","8.407843137254904","91.59215686274507","25","30",,"30","5","8.900000000000004","91.1","25","30",,"30","5","8.496078431372547","91.50392156862746","25","30",,"30","5","8.523529411764708","91.47647058823532","25","30",,"30","5","8.623529411764713","91.3764705882353","25","30",,"30","5","8.564705882352944","91.43529411764708","25","30",,"30","5","8.349019607843136","91.65098039215688","25","30",,"30","5","8.7921568627451","91.20784313725491","25","30",,"30","5","8.45294117647059","91.54705882352943"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30","0","30","none","30","5","70","30"
,"1","30","none","30","5","62.6","37.4","1","30","none","30","5","61.6","38.4","1","30","none","30","5","63.3","36.7","1","30","none","30","5","61.8","38.2","1","30","none","30","5","62","38","1","30","none","30","5","62.7","37.3","1","30","none","30","5","62.3","37.7","1","30","none","30","5","61.8","38.2","1","30","none","30","5","64.2","35.8","1","30","none","30","5","61.199999999999996","38.800000000000004"
