"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_legalstrength60_time1"
"04/22/2025 16:07:48:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,
"treatment","legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,,"legal",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,,"1",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,,"75",,,,,,
"[reporter]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
"[final]","50","30","legal","60","1","30.10000000000001","69.89999999999999","50","30","legal","60","1","30.900000000000006","69.1","50","30","legal","60","1","29.60000000000001","70.39999999999999","50","30","legal","60","1","28.60000000000001","71.39999999999999","50","30","legal","60","1","29.400000000000006","70.6","50","30","legal","60","1","31.799999999999997","68.2","50","30","legal","60","1","30.400000000000006","69.6","50","30","legal","60","1","27.900000000000006","72.1","50","30","legal","60","1","31.39999999999999","68.60000000000001","50","30","legal","60","1","29.400000000000006","70.6"
"[min]","0","30",,"60","1","29.5","30","0","30",,"60","1","29.299999999999997","30","0","30",,"60","1","28.60000000000001","29.7","0","30",,"60","1","27.700000000000003","30","0","30",,"60","1","28.10000000000001","30","0","30",,"60","1","29.400000000000006","30","0","30",,"60","1","29.80000000000001","30","0","30",,"60","1","27.900000000000006","30","0","30",,"60","1","29.10000000000001","30","0","30",,"60","1","29","30"
"[max]","50","30",,"60","1","70","70.5","50","30",,"60","1","70","70.7","50","30",,"60","1","70.3","71.39999999999999","50","30",,"60","1","70","72.3","50","30",,"60","1","70","71.89999999999999","50","30",,"60","1","70","70.6","50","30",,"60","1","70","70.19999999999999","50","30",,"60","1","70","72.1","50","30",,"60","1","70","70.89999999999999","50","30",,"60","1","70","71"
"[mean]","25","30",,"60","1","40.29215686274509","59.70784313725489","25","30",,"60","1","39.12941176470588","60.87058823529412","25","30",,"60","1","39.94509803921568","60.05490196078432","25","30",,"60","1","39.24313725490197","60.75686274509804","25","30",,"60","1","39.978431372549025","60.02156862745099","25","30",,"60","1","39.07058823529411","60.92941176470588","25","30",,"60","1","38.56470588235294","61.43529411764706","25","30",,"60","1","38.96078431372549","61.03921568627451","25","30",,"60","1","38.449019607843134","61.55098039215688","25","30",,"60","1","41.290196078431364","58.70980392156862"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30"
