"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_platformaccuracy80_speed50"
"04/22/2025 17:11:11:532 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10"
"num-nodes","1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,,"1000",,,,,,
"pollution-level","30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,,"30",,,,,,
"treatment","platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,,"platform",,,,,,
"legal-strength","60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,,"60",,,,,,
"legal-response-time","5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,,"5",,,,,,
"platform-accuracy","80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,,"80",,,,,,
"platform-speed","50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,,"50",,,,,,
"[reporter]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
"[final]","50","30","platform","80","50","16.10000000000001","83.89999999999999","50","30","platform","80","50","15.600000000000009","84.39999999999999","50","30","platform","80","50","15.700000000000003","84.3","50","30","platform","80","50","13.900000000000006","86.1","50","30","platform","80","50","15.600000000000009","84.39999999999999","50","30","platform","80","50","14.799999999999997","85.2","50","30","platform","80","50","15.5","84.5","50","30","platform","80","50","14.700000000000003","85.3","50","30","platform","80","50","16","84","50","30","platform","80","50","16.60000000000001","83.39999999999999"
"[min]","0","30",,"80","50","13.900000000000006","30","0","30",,"80","50","14.700000000000003","30","0","30",,"80","50","13.700000000000003","30","0","30",,"80","50","13.599999999999994","30","0","30",,"80","50","14.200000000000003","30","0","30",,"80","50","14.099999999999994","30","0","30",,"80","50","15.200000000000003","30","0","30",,"80","50","14.099999999999994","30","0","30",,"80","50","13.900000000000006","30","0","30",,"80","50","15","30"
"[max]","50","30",,"80","50","70","86.1","50","30",,"80","50","70","85.3","50","30",,"80","50","70","86.3","50","30",,"80","50","70","86.4","50","30",,"80","50","70","85.8","50","30",,"80","50","70","85.9","50","30",,"80","50","70","84.8","50","30",,"80","50","70","85.9","50","30",,"80","50","70","86.1","50","30",,"80","50","70","85"
"[mean]","25","30",,"80","50","22.00392156862745","77.99607843137255","25","30",,"80","50","23.32156862745098","76.67843137254904","25","30",,"80","50","22.303921568627455","77.69607843137256","25","30",,"80","50","22.047058823529408","77.95294117647059","25","30",,"80","50","22.076470588235292","77.92352941176472","25","30",,"80","50","22.445098039215686","77.55490196078432","25","30",,"80","50","22.7235294117647","77.2764705882353","25","30",,"80","50","22.392156862745097","77.60784313725492","25","30",,"80","50","22.32156862745098","77.67843137254903","25","30",,"80","50","22.568627450980394","77.43137254901963"
"[total steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
,"0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30"
